Ship Length,Engine Mass,Engine Power,DWT,no. of engines,Vessel speed,Cavitation Speed,Froude's No.,Block Coefficient,MMSI,TIMESTAMP,LAT,LON,NAV_STATUS,SOG,COG,HEADING,RATE_OF_TURN,POSITION_ACCURACY,LENGTH
67,9.97769946,665.179964,1270.360338,1,6.8,9,0.278642766,0.888563658,463912000,26/04/2018_11:22:38,24.76832,67.3339,Under way sailing,0,200,511,-128,HIGH QUALITY,
178,104.3391396,6955.94264,42958.80336,1,0.1,9,0.170952388,0.889680732,567464000,26/04/2018_11:22:40,21.24585,66.78506,Under way using engine,12,262,260,0,HIGH QUALITY,
67,9.97769946,665.179964,1270.360338,1,0.1,9,0.278642766,0.888563658,419000162,26/04/2018_11:22:41,19.33499,72.01701,Under way using engine,0.1,136.3,269,0,HIGH QUALITY,
174,98.92125956,6594.750637,39656.62541,1,0.6,9,0.172906193,0.889663325,477301700,26/04/2018_11:22:41,7.043772,77.85517,Under way using engine,10.5,118.3,119,0,LOW QUALITY,
69,10.72639402,715.0929347,1415.995646,1,6.3,9,0.27457477,0.888612605,256054000,26/04/2018_11:22:42,20.53967,71.8146,Under way using engine,8.3,53,55,0,LOW QUALITY,
70,11.11241561,740.8277073,1493.117592,1,0.2,9,0.272606467,0.888636069,419000393,26/04/2018_11:22:43,19.89172,72.55061,Under way using engine,8.9,351.4,1,0,LOW QUALITY,
82,16.36518623,1091.012415,2668.472465,1,0.1,9,0.251871047,0.888874877,419228000,26/04/2018_11:22:43,20.08201,71.97799,Restricted manoeuverability,0.6,352.9,260,5,HIGH QUALITY,
68,10.34816741,689.8778273,1341.765027,1,3.5,9,0.276586334,0.888588479,477136300,26/04/2018_11:22:43,13.94922,81.16347,Under way using engine,11.8,294.6,285,0,LOW QUALITY,
128,47.85620189,3190.413459,13344.08011,1,0.1,9,0.201595201,0.889396855,419663000,26/04/2018_11:22:43,20.53319,72.10721,Under way using engine,11.1,351,339,13,HIGH QUALITY,
80,15.40896654,1027.264436,2438.044155,1,7,9,0.255,0.888839792,375677000,26/04/2018_11:22:43,24.82452,66.97189,Under way using engine,0.3,84.8,511,-128,HIGH QUALITY,
188,118.5863348,7905.755653,52051.50228,1,0.1,9,0.166343659,0.889721436,563361000,26/04/2018_11:22:44,18.23185,67.90303,Under way using engine,17.6,324.2,323,0,LOW QUALITY,
174,98.92125956,6594.750637,39656.62541,2,0.1,9,0.172906193,0.889663325,636016855,26/04/2018_11:22:44,22.42584,68.84804,Under way using engine,12.7,25,24,-8,HIGH QUALITY,
32,1.563919229,104.2612819,78.83204227,1,0.1,9,0.403190402,0.886694047,538003211,26/04/2018_11:22:45,16.92307,69.82297,Under way using engine,11.9,140,140,0,HIGH QUALITY,
149,68.63838194,4575.892129,22920.90991,1,0.1,9,0.186849543,0.889536413,566762000,26/04/2018_11:22:45,21.19773,72.2681,Under way using engine,16.4,25,28,5,HIGH QUALITY,
79,14.94311304,996.207536,2328.321354,1,0.2,9,0.256608849,0.888821623,636090967,26/04/2018_11:22:45,20.20396,72.49979,Under way using engine,11.2,352.4,350,0,LOW QUALITY,
35,1.965113063,131.0075375,111.0356943,1,0.1,9,0.385523762,0.887011995,538006037,26/04/2018_11:22:45,21.06391,66.30655,Under way using engine,12.8,63.9,64,-3,HIGH QUALITY,
68,10.34816741,689.8778273,1341.765027,2,0.1,9,0.276586334,0.888588479,419956767,26/04/2018_11:22:48,22.548,70.03078,Under way using engine,0,360,511,-128,HIGH QUALITY,
37,2.262919394,150.8612929,137.209735,1,0.5,9,0.374959457,0.887192328,636016364,26/04/2018_11:21:13,18.8876,72.84888,Under way using engine,5.9,209.8,208,0,LOW QUALITY,
315,390.8075259,26053.83506,311405.068,1,15.1,9,0.128507921,0.890037728,612316901,26/04/2018_11:21:19,24.83374,66.96995,Under way sailing,0,56.4,269,0,LOW QUALITY,
55,6.123197717,408.2131811,610.7292539,1,0.4,9,0.307541571,0.888197299,419797000,26/04/2018_11:21:21,18.70289,70.62134,Under way using engine,12.1,154.8,153,0,HIGH QUALITY,
59,7.28871014,485.9140093,793.1536328,1,2.3,9,0.29693348,0.888335713,636017245,26/04/2018_11:21:25,24.67766,66.26335,Under way using engine,15.3,270,268,0,LOW QUALITY,
37,2.262919394,150.8612929,137.209735,1,0.3,9,0.374959457,0.887192328,636016364,26/04/2018_11:21:33,18.88714,72.8486,Under way using engine,6,210,208,0,LOW QUALITY,
199,135.4284091,9028.560607,63525.18868,1,15.7,9,0.161680869,0.889762116,447188000,26/04/2018_11:21:34,23.66808,61.59565,Under way using engine,14,286.1,280,0,LOW QUALITY,
37,2.262919394,150.8612929,137.209735,1,0.5,9,0.374959457,0.887192328,319109600,26/04/2018_11:21:37,18.88947,71.45502,Under way using engine,14.3,271.3,271,0,HIGH QUALITY,
189,120.0665712,8004.43808,53029.12501,1,12.9,9,0.165903012,0.889725302,374369000,26/04/2018_11:21:38,23.78626,61.01647,Under way using engine,12.8,36,37,0,HIGH QUALITY,
86,18.37651586,1225.101057,3175.236358,1,0.1,9,0.245943839,0.88894045,240893000,26/04/2018_11:21:39,20.29902,63.80375,Under way using engine,12,133,133,0,HIGH QUALITY,
55,6.123197717,408.2131811,610.7292539,1,0.3,9,0.307541571,0.888197299,419797000,26/04/2018_11:21:40,18.70195,70.62181,Under way using engine,12.1,154.4,153,5,HIGH QUALITY,
189,120.0665712,8004.43808,53029.12501,1,0.1,9,0.165903012,0.889725302,372179000,26/04/2018_11:21:44,20.0983,68.77686,Under way using engine,10.6,324.1,322,0,HIGH QUALITY,
170,93.66279258,6244.186172,36536.92149,1,8.1,9,0.174928557,0.889645211,538005627,26/04/2018_11:21:48,22.67291,63.5871,Under way using engine,12.5,296.7,295,0,HIGH QUALITY,
366,549.9027308,36660.18205,519768.688,1,18.2,9,0.119218768,0.890110824,419001320,26/04/2018_11:21:52,21.67324,72.51215,Under way sailing,0,48.8,171,0,LOW QUALITY,
180,107.108104,7140.540267,44680.16785,1,14.5,9,0.17,0.889689184,447158000,26/04/2018_11:21:58,24.44998,66.03539,Under way sailing,12.2,85,87,0,HIGH QUALITY,
130,49.65663452,3310.442301,14104.15985,1,0.1,9,0.200038458,0.889411858,373728000,26/04/2018_11:21:58,17.32993,69.36922,Under way using engine,16.6,140.1,140,-5,HIGH QUALITY,
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,354986000,26/04/2018_11:22:04,21.37442,72.40627,Under way using engine,0.1,87,189,0,LOW QUALITY,
289,320.8986836,21393.24557,231703.8244,1,9.6,9,0.134164079,0.889992376,636015980,26/04/2018_11:22:08,22.63959,69.05219,Under way using engine,20,264.2,265,0,HIGH QUALITY,
183,111.3368498,7422.456653,47352.14884,1,12.6,9,0.168600799,0.889701563,219021350,26/04/2018_11:22:10,22.89298,66.14114,Under way using engine,17.1,100,100,0,HIGH QUALITY,
227,183.9247607,12261.65071,100540.6291,1,11.3,9,0.151381305,0.889850228,636015370,26/04/2018_11:22:10,22.61243,69.59019,Under way using engine,11.7,107.4,107,0,HIGH QUALITY,
59,7.28871014,485.9140093,793.1536328,1,0.2,9,0.29693348,0.888335713,351224000,26/04/2018_11:22:10,19.10383,72.54223,Under way using engine,0.3,218.8,315,0,HIGH QUALITY,
183,111.3368498,7422.456653,47352.14884,1,12.7,9,0.168600799,0.889701563,240546000,26/04/2018_11:22:11,22.88607,64.15788,Under way using engine,15.7,109,110,-5,HIGH QUALITY,
189,120.0665712,8004.43808,53029.12501,1,10,9,0.165903012,0.889725302,563313000,26/04/2018_11:22:11,22.8432,60.46819,Under way using engine,18.3,131,132,0,LOW QUALITY,
63,8.572667084,571.5111389,1011.708121,1,3.2,9,0.287352447,0.888456752,256785000,26/04/2018_11:22:11,10.73147,84.82398,Under way using engine,11.2,33,36,0,LOW QUALITY,
274,283.9511963,18930.07975,192862.0829,1,7.8,9,0.137787523,0.889962979,538001641,26/04/2018_11:22:12,22.63385,69.80559,Under way using engine,3.6,237,241,0,HIGH QUALITY,
274,283.9511963,18930.07975,192862.0829,1,8.3,9,0.137787523,0.889962979,636015007,26/04/2018_11:22:14,22.63711,69.13486,Under way using engine,14.2,87.9,87,0,HIGH QUALITY,
333,443.6120306,29574.13537,376605.165,1,13.5,9,0.124986486,0.890065638,636015665,26/04/2018_11:22:15,22.63945,69.48698,Under way using engine,18.9,260.2,256,-12,HIGH QUALITY,
220,171.0356456,11402.37637,90159.44822,1,0.1,9,0.153770786,0.889829996,419900611,26/04/2018_11:22:16,21.04877,72.54669,default,0.3,14.8,511,-128,LOW QUALITY,
222,174.6658481,11644.38987,93045.05438,2,13.8,9,0.153076557,0.889835887,538004336,26/04/2018_11:22:17,22.18815,65.27786,Under way using engine,12.8,143.6,145,0,LOW QUALITY,
240,209.2310216,13948.73477,121988.9271,1,11.4,9,0.147224319,0.889885127,511672000,26/04/2018_11:22:17,22.6342,70.03664,Under way using engine,0.1,343.4,511,-128,LOW QUALITY,
91,21.07847477,1405.231651,3900.677739,1,0.1,9,0.239091688,0.889014838,356181000,26/04/2018_11:22:18,20.38105,71.35585,Under way using engine,2.2,72,349,0,HIGH QUALITY,
63,8.572667084,571.5111389,1011.708121,1,4.5,9,0.287352447,0.888456752,463033101,26/04/2018_11:22:18,24.8434,66.98344,Under way sailing,0,181,66,0,LOW QUALITY,
180,107.108104,7140.540267,44680.16785,1,10.3,9,0.17,0.889689184,419039400,26/04/2018_11:22:19,22.81359,68.12374,Under way sailing,8.8,277.4,511,-128,LOW QUALITY,
69,10.72639402,715.0929347,1415.995646,1,7.1,9,0.27457477,0.888612605,419000636,26/04/2018_11:22:20,20.57712,72.66536,Under way using engine,1.9,193.3,511,-128,LOW QUALITY,
130,49.65663452,3310.442301,14104.15985,1,0.1,9,0.200038458,0.889411858,373728000,26/04/2018_11:22:21,17.32853,69.37048,Under way using engine,16.7,138.7,140,0,HIGH QUALITY,
289,320.8986836,21393.24557,231703.8244,1,9,9,0.134164079,0.889992376,477261600,26/04/2018_11:22:22,22.64218,69.1112,Under way using engine,18.7,260,254,-127,LOW QUALITY,
80,15.40896654,1027.264436,2438.044155,1,0.1,9,0.255,0.888839792,538001656,26/04/2018_11:22:24,17.15048,69.80556,Under way using engine,12.2,139,142,0,HIGH QUALITY,
36,2.110934492,140.7289661,123.621336,1,0.1,9,0.380131556,0.887104917,538006975,26/04/2018_11:22:25,20.55759,71.87366,Under way using engine,5.4,60.6,55,-8,HIGH QUALITY,
32,1.563919229,104.2612819,78.83204227,1,0.1,9,0.403190402,0.886694047,477006700,26/04/2018_11:22:26,21.05153,68.51601,Under way using engine,14.1,332.2,335,0,HIGH QUALITY,
149,68.63838194,4575.892129,22920.90991,1,0.1,9,0.186849543,0.889536413,566762000,26/04/2018_11:22:27,21.19651,72.26747,Under way using engine,16.4,25.5,28,4,HIGH QUALITY,
177,102.9696816,6864.64544,42115.82898,1,0.1,9,0.171434625,0.889676444,538007720,26/04/2018_11:22:28,22.56982,63.76445,Under way using engine,12.1,109.2,111,0,HIGH QUALITY,
70,11.11241561,740.8277073,1493.117592,1,0.1,9,0.272606467,0.888636069,419000283,26/04/2018_11:22:28,19.90268,70.70859,Under way using engine,11,350.7,511,-128,LOW QUALITY,
178,104.3391396,6955.94264,42958.80336,1,0.1,9,0.170952388,0.889680732,567464000,26/04/2018_11:22:29,21.246,66.78568,Under way using engine,12.1,261,260,0,HIGH QUALITY,
239,207.2208585,13814.7239,120235.1644,1,16.5,9,0.147531998,0.889882557,533130407,26/04/2018_11:22:30,20.60166,72.03466,At anchor,102.3,360,183,0,LOW QUALITY,
57,6.691320018,446.0880012,697.6683156,1,0.3,9,0.302097928,0.888268919,566737000,26/04/2018_11:22:30,20.43868,71.81725,Under way using engine,1.6,210.4,225,5,HIGH QUALITY,
51,5.073306687,338.2204458,460.5936791,1,0.4,9,0.319374388,0.888037162,370149000,26/04/2018_11:22:32,20.39942,72.41525,Under way using engine,10.5,232,227,0,HIGH QUALITY,
222,174.6658481,11644.38987,93045.05438,2,13.8,9,0.153076557,0.889835887,548894000,26/04/2018_11:22:33,22.04186,66.37873,Under way using engine,14.4,127.1,132,0,LOW QUALITY,
289,320.8986836,21393.24557,231703.8244,1,9.6,9,0.134164079,0.889992376,477261600,26/04/2018_11:22:35,22.64192,69.1101,Under way using engine,18.7,258,252,-127,LOW QUALITY,
79,14.94311304,996.207536,2328.321354,1,0.1,9,0.256608849,0.888821623,538005854,26/04/2018_11:22:35,20.21622,68.39479,Under way using engine,6.7,300.4,297,0,LOW QUALITY,
26,0.917844761,61.18965071,35.44338143,1,0.6,9,0.44729959,0.885797156,419000979,26/04/2018_11:22:36,20.37746,71.14932,Under way using engine,7.5,123.2,128,0,HIGH QUALITY,
35,1.965113063,131.0075375,111.0356943,1,0.1,9,0.385523762,0.887011995,419001010,26/04/2018_11:22:37,21.06367,66.54617,Under way using engine,10.1,128,128,-8,LOW QUALITY,
58,6.986334668,465.7556445,744.3126113,1,0.1,9,0.299482312,0.888302886,419001065,26/04/2018_11:22:38,19.39859,71.58776,At anchor,9.9,360,511,-128,LOW QUALITY,
180,107.108104,7140.540267,44680.16785,1,8.1,9,0.17,0.889689184,564149000,26/04/2018_11:22:39,24.53317,66.95385,Under way using engine,0.9,171,12,0,LOW QUALITY,
149,68.63838194,4575.892129,22920.90991,1,0.1,9,0.186849543,0.889536413,566762000,26/04/2018_11:22:39,21.19737,72.26791,Under way using engine,16.4,25.5,28,6,HIGH QUALITY,
125,45.22511193,3015.007462,12258.87945,1,0.1,9,0.204,0.889373552,419000636,26/04/2018_11:22:40,20.57694,72.66534,Under way using engine,2,196,511,-128,LOW QUALITY,
67,9.97769946,665.179964,1270.360338,1,2.1,9,0.278642766,0.888563658,612316901,26/04/2018_11:22:41,24.83375,66.96993,Under way sailing,0,40,274,0,LOW QUALITY,
139,58.22171927,3881.447951,17906.42292,1,14.4,9,0.193454027,0.889474604,210549000,26/04/2018_11:22:42,16.73883,72.65847,Under way using engine,13.3,131,129,-6,HIGH QUALITY,
107,31.16405894,2077.603929,7012.329651,1,0.1,9,0.220492228,0.889209433,419001114,26/04/2018_11:22:42,19.18012,70.98307,Under way using engine,0.1,152.7,188,0,HIGH QUALITY,
332,440.5831748,29372.21165,372754.7279,1,14.5,9,0.125174577,0.890064154,563035400,26/04/2018_11:22:42,22.61702,69.40657,Under way using engine,14.9,255,256,0,HIGH QUALITY,
175,100.2607538,6684.050253,40464.83247,1,12.1,9,0.172411468,0.889667741,461000005,26/04/2018_11:22:43,24.94935,66.58376,Restricted manoeuverability,0.9,86.1,511,-128,HIGH QUALITY,
91,21.07847477,1405.231651,3900.677739,1,0.2,9,0.239091688,0.889014838,431386000,26/04/2018_11:22:44,20.35027,66.31119,Under way using engine,13,142,144,0,HIGH QUALITY,
130,49.65663452,3310.442301,14104.15985,1,0.1,9,0.200038458,0.889411858,373728000,26/04/2018_11:22:45,17.32719,69.37168,Under way using engine,16.6,138.4,140,0,HIGH QUALITY,
80,15.40896654,1027.264436,2438.044155,1,0.1,9,0.255,0.888839792,538001656,26/04/2018_11:22:45,17.14955,69.80639,Under way using engine,12.2,139,142,0,HIGH QUALITY,
192,124.5681608,8304.544053,56039.1936,1,0.1,9,0.164601792,0.889736691,311024400,26/04/2018_11:22:49,17.41693,72.74199,Under way sailing,10.4,351,353,0,HIGH QUALITY,
274,283.9511963,18930.07975,192862.0829,1,9.3,9,0.137787523,0.889962979,563035400,26/04/2018_11:22:49,22.6169,69.40605,Under way using engine,14.9,255,256,0,HIGH QUALITY,
67,9.97769946,665.179964,1270.360338,1,4,9,0.278642766,0.888563658,612316901,26/04/2018_11:22:49,24.83375,66.96993,Under way sailing,0,48.2,275,0,LOW QUALITY,
300,349.5629414,23304.19609,263432.5139,1,17.9,9,0.131681434,0.890012362,463930000,26/04/2018_11:22:50,24.76807,67.33339,Under way using engine,0,105,511,-128,HIGH QUALITY,
230,189.6062307,12640.41538,105235.0001,2,0.2,9,0.150390795,0.889858578,357786000,26/04/2018_11:22:50,22.37177,68.77502,Under way using engine,11.2,205.3,511,-128,HIGH QUALITY,
200,137.0207776,9134.718507,64648.87033,1,0.1,9,0.161276161,0.889765623,373728000,26/04/2018_11:22:51,17.32678,69.37205,Under way using engine,16.5,140.4,140,0,HIGH QUALITY,
91,21.07847477,1405.231651,3900.677739,1,0.1,9,0.239091688,0.889014838,431386000,26/04/2018_11:22:53,20.3497,66.31167,Under way using engine,12.9,142,144,0,HIGH QUALITY,
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,354986000,26/04/2018_11:22:54,21.37442,72.4063,Under way using engine,0.1,91,188,0,LOW QUALITY,
92,21.64418334,1442.945556,4058.757505,1,0.1,9,0.237788726,0.889028814,440209000,26/04/2018_11:22:55,22.58969,60.67025,Under way using engine,13.3,124.3,130,127,HIGH QUALITY,
64,8.91247548,594.165032,1072.454364,1,0.4,9,0.285098667,0.888484696,419000346,26/04/2018_11:22:55,18.71036,72.34013,Under way using engine,0.2,210.2,511,-128,LOW QUALITY,
278,293.5634699,19570.89799,202737.6074,1,0.1,9,0.136792654,0.889971077,419000107,26/04/2018_11:22:55,20.75676,70.66534,Under way using engine,0,84.2,75,0,LOW QUALITY,
66,9.614953251,640.9968834,1201.716611,1,9.5,9,0.28074576,0.888538111,563019900,26/04/2018_11:22:55,15.94283,68.75776,Under way using engine,17.7,312.2,312,0,HIGH QUALITY,
70,11.11241561,740.8277073,1493.117592,1,0.1,9,0.272606467,0.888636069,563364000,26/04/2018_11:22:56,22.59313,69.2536,Under way using engine,11.4,115.5,115,0,HIGH QUALITY,
128,47.85620189,3190.413459,13344.08011,1,0.1,9,0.201595201,0.889396855,566069000,26/04/2018_11:22:57,20.49793,69.43156,Under way using engine,11.5,338.9,336,0,HIGH QUALITY,
38,2.42113607,161.4090713,151.8483564,1,0.3,9,0.369992888,0.887274726,419000370,26/04/2018_11:22:57,18.88858,72.74229,Under way sailing,2.8,128.4,511,-128,LOW QUALITY,
199,135.4284091,9028.560607,63525.18868,1,16.1,9,0.161680869,0.889762116,419000848,26/04/2018_11:22:58,22.93925,70.23936,Restricted manoeuverability,1.7,220.4,225,0,LOW QUALITY,
299,346.9019568,23126.79712,260430.2472,1,0.1,9,0.131901453,0.890010596,567464000,26/04/2018_11:23:00,21.2457,66.784,Under way using engine,12,261,260,0,HIGH QUALITY,
57,6.691320018,446.0880012,697.6683156,1,0.1,9,0.302097928,0.888268919,566737000,26/04/2018_11:23:00,20.43846,71.81709,Under way using engine,1.7,211.8,224,-5,HIGH QUALITY,
67,9.97769946,665.179964,1270.360338,1,0.1,9,0.278642766,0.888563658,419000162,26/04/2018_11:23:01,19.33499,72.01701,Under way using engine,0.1,114.5,269,0,HIGH QUALITY,
189,120.0665712,8004.43808,53029.12501,2,0.5,9,0.165903012,0.889725302,1326,26/04/2018_11:23:04,22.48564,69.84083,Under way using engine,0.1,149.2,511,-128,LOW QUALITY,
144,63.31070637,4220.713758,20304.72151,1,0.1,9,0.190065778,0.889506453,538005854,26/04/2018_11:23:04,20.21665,68.39396,Under way using engine,6.7,300.4,297,0,LOW QUALITY,
250,229.9184786,15327.89857,140521.2854,1,9.9,9,0.144249783,0.88990987,463054101,26/04/2018_11:23:04,24.65689,66.91975,Under way using engine,1.2,201.5,51,-127,LOW QUALITY,
292,328.5840416,21905.60277,240077.2453,1,10.3,9,0.1334731,0.889997951,240546000,26/04/2018_11:23:04,22.88482,64.1619,Under way using engine,15.6,109,110,0,HIGH QUALITY,
225,180.1897095,12012.6473,97493.638,2,0.1,9,0.152052622,0.889844557,419901117,26/04/2018_11:23:07,22.47018,69.08092,Under way using engine,0.1,268.3,511,-128,LOW QUALITY,
38,2.42113607,161.4090713,151.8483564,1,0.3,9,0.369992888,0.887274726,319109600,26/04/2018_11:23:07,18.88955,71.44868,Under way using engine,14.4,270.3,271,0,HIGH QUALITY,
315,390.8075259,26053.83506,311405.068,1,14.8,9,0.128507921,0.890037728,463033101,26/04/2018_11:23:08,24.8434,66.98344,Under way sailing,0,181,66,0,LOW QUALITY,
190,121.5569469,8103.79646,54019.55148,1,0.1,9,0.16546585,0.889729133,419000916,26/04/2018_11:23:08,19.67522,72.07181,Under way using engine,8.6,354.3,511,-128,LOW QUALITY,
64,8.91247548,594.165032,1072.454364,1,0.2,9,0.285098667,0.888484696,419900470,26/04/2018_11:23:09,18.71036,72.34005,Under way using engine,0.4,10.3,511,-128,LOW QUALITY,
