Ship Length,Engine Mass,Engine Power,DWT,no. of engines,Vessel speed,Cavitation Speed,Froude's No.,Block Coefficient,LAT,LON,SOG,COG,HEADING,RATE_OF_TURN,Source level
146,65.41302545,4360.868363,21324.44089,1,0.1,9,0.188759469,0.889518653,17.33029,69.36892,16.7,138.7,140,5,83.26824491483711
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,21.37442,72.40627,0.1,89.0,189,0,75.66595194535125
144,63.31070637,4220.713758,20304.72151,1,12.1,9,0.190065778,0.889506453,22.83711,66.46361,16.4,102.4,104,0,
261,253.9116186,16927.44124,163081.6736,1,2.1,9,0.141177316,0.88993523,15.93491,83.2545,13.7,186.4,179,0,75.03742649058876
323,413.8285173,27588.56782,339321.9243,1,15.4,9,0.126906513,0.890050451,23.5551,65.17212,11.9,108.2,110,0,
259,249.4524053,16630.16035,158804.5138,2,0.1,9,0.141721354,0.889930754,22.548,70.03078,0.0,360.0,511,-128,85.2395701159663
250,229.9184786,15327.89857,140521.2854,2,12.2,9,0.144249783,0.88990987,22.18862,65.27748,12.8,143.4,145,0,
105,29.78122586,1985.415057,6550.812273,1,0.4,9,0.222582248,0.889188082,18.13192,72.54826,13.7,170.7,171,0,74.2721265268742
32,1.563919229,104.2612819,78.83204227,1,0.1,9,0.403190402,0.886694047,21.08549,72.65828,0.0,24.0,511,-128,68.86216464187709
20,0.464588702,30.97258011,12.76392562,1,0.1,9,0.51,0.884192891,22.59405,69.25152,11.3,116.1,115,0,64.04131471735076
230,189.6062307,12640.41538,105235.0001,2,0.1,9,0.150390795,0.889858578,22.4027,60.93731,18.1,131.5,134,-9,84.2268270959452
59,7.28871014,485.9140093,793.1536328,1,0.2,9,0.29693348,0.888335713,19.55861,71.38593,0.2,284.8,170,0,71.87677128895092
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,24.8434,66.98344,0.0,181.0,66,0,75.66595194535125
125,45.22511193,3015.007462,12258.87945,1,0.1,9,0.204,0.889373552,20.57704,72.66534,2.2,205.8,511,-128,81.87703572583936
244,217.3780259,14491.86839,129182.8195,1,11.7,9,0.146012575,0.88989523,24.7295,67.15605,13.2,213.3,511,-128,
245,219.4414058,14629.42705,131026.507,1,13.7,9,0.145714286,0.889897712,22.63716,69.13614,14.2,87.8,87,0,
32,1.563919229,104.2612819,78.83204227,1,0.4,9,0.403190402,0.886694047,18.6027,70.17623,14.3,336.7,338,0,62.84118939564535
149,68.63838194,4575.892129,22920.90991,1,0.1,9,0.186849543,0.889536413,21.19694,72.26769,16.4,25.2,28,-6,83.44911229659357
91,21.07847477,1405.231651,3900.677739,1,0.1,9,0.239091688,0.889014838,20.35065,66.31088,13.0,142.0,144,0,78.97546203751466
36,2.110934492,140.7289661,123.621336,1,0.1,9,0.380131556,0.887104917,20.55772,71.87388,5.4,58.4,55,-1,70.04475946502585
315,390.8075259,26053.83506,311405.068,1,15.1,9,0.128507921,0.890037728,24.81665,66.97459,0.0,79.2,511,-128,
72,11.90798626,793.8657507,1656.299177,1,1.1,9,0.268793601,0.888681118,24.77819,67.35255,0.0,360.0,511,-128,66.36248629748748
67,9.97769946,665.179964,1270.360338,1,6.8,9,0.278642766,0.888563658,24.76832,67.3339,0.0,200.0,511,-128,55.325837981568256
178,104.3391396,6955.94264,42958.80336,1,0.1,9,0.170952388,0.889680732,21.24585,66.78506,12.0,262.0,260,0,85.01740037130942
67,9.97769946,665.179964,1270.360338,1,0.1,9,0.278642766,0.888563658,19.33499,72.01701,0.1,136.3,269,0,76.10223867052196
174,98.92125956,6594.750637,39656.62541,1,0.6,9,0.172906193,0.889663325,7.043772,77.85517,10.5,118.3,119,0,77.03547388668704
69,10.72639402,715.0929347,1415.995646,1,6.3,9,0.27457477,0.888612605,20.53967,71.8146,8.3,53.0,55,0,56.56374997066739
70,11.11241561,740.8277073,1493.117592,1,0.2,9,0.272606467,0.888636069,19.89172,72.55061,8.9,351.4,1,0,73.50751152273021
82,16.36518623,1091.012415,2668.472465,1,0.1,9,0.251871047,0.888874877,20.08201,71.97799,0.6,352.9,260,5,78.0064692171494
68,10.34816741,689.8778273,1341.765027,1,3.5,9,0.276586334,0.888588479,13.94922,81.16347,11.8,294.6,285,0,60.539062492004234
128,47.85620189,3190.413459,13344.08011,1,0.1,9,0.201595201,0.889396855,20.53319,72.10721,11.1,351.0,339,13,82.09068746729119
80,15.40896654,1027.264436,2438.044155,1,7.0,9,0.255,0.888839792,24.82452,66.97189,0.3,84.8,511,-128,56.56308178686131
188,118.5863348,7905.755653,52051.50228,1,0.1,9,0.166343659,0.889721436,18.23185,67.90303,17.6,324.2,323,0,85.49474627575165
174,98.92125956,6594.750637,39656.62541,2,0.1,9,0.172906193,0.889663325,22.42584,68.84804,12.7,25.0,24,-8,81.80796746561866
32,1.563919229,104.2612819,78.83204227,1,0.1,9,0.403190402,0.886694047,16.92307,69.82297,11.9,140.0,140,0,68.86216464187709
149,68.63838194,4575.892129,22920.90991,1,0.1,9,0.186849543,0.889536413,21.19773,72.2681,16.4,25.0,28,5,83.44911229659357
79,14.94311304,996.207536,2328.321354,1,0.2,9,0.256608849,0.888821623,20.20396,72.49979,11.2,352.4,350,0,74.64725135179958
35,1.965113063,131.0075375,111.0356943,1,0.1,9,0.385523762,0.887011995,21.06391,66.30655,12.8,63.9,64,-3,69.76287797143875
68,10.34816741,689.8778273,1341.765027,2,0.1,9,0.276586334,0.888588479,22.548,70.03078,0.0,360.0,511,-128,73.23267986674583
37,2.262919394,150.8612929,137.209735,1,0.5,9,0.374959457,0.887192328,18.8876,72.84888,5.9,209.8,208,0,63.32789139206207
315,390.8075259,26053.83506,311405.068,1,15.1,9,0.128507921,0.890037728,24.83374,66.96995,0.0,56.4,269,0,
55,6.123197717,408.2131811,610.7292539,1,0.4,9,0.307541571,0.888197299,18.70289,70.62134,12.1,154.8,153,0,68.18974504426166
59,7.28871014,485.9140093,793.1536328,1,2.3,9,0.29693348,0.888335713,24.67766,66.26335,15.3,270.0,268,0,61.19674516389829
37,2.262919394,150.8612929,137.209735,1,0.3,9,0.374959457,0.887192328,18.88714,72.8486,6.0,210.0,208,0,65.54696277432748
199,135.4284091,9028.560607,63525.18868,1,15.7,9,0.161680869,0.889762116,23.66808,61.59565,14.0,286.1,280,0,
37,2.262919394,150.8612929,137.209735,1,0.5,9,0.374959457,0.887192328,18.88947,71.45502,14.3,271.3,271,0,63.32789139206207
189,120.0665712,8004.43808,53029.12501,1,12.9,9,0.165903012,0.889725302,23.78626,61.01647,12.8,36.0,37,0,
86,18.37651586,1225.101057,3175.236358,1,0.1,9,0.245943839,0.88894045,20.29902,63.80375,12.0,133.0,133,0,78.45069281413531
55,6.123197717,408.2131811,610.7292539,1,0.3,9,0.307541571,0.888197299,18.70195,70.62181,12.1,154.4,153,5,69.43935284791428
189,120.0665712,8004.43808,53029.12501,1,0.1,9,0.165903012,0.889725302,20.0983,68.77686,10.6,324.1,322,0,85.54096107862628
170,93.66279258,6244.186172,36536.92149,1,8.1,9,0.174928557,0.889645211,22.67291,63.5871,12.5,296.7,295,0,59.85895986714893
366,549.9027308,36660.18205,519768.688,1,18.2,9,0.119218768,0.890110824,21.67324,72.51215,0.0,48.8,171,0,
180,107.108104,7140.540267,44680.16785,1,14.5,9,0.17,0.889689184,24.44998,66.03539,12.2,85.0,87,0,
130,49.65663452,3310.442301,14104.15985,1,0.1,9,0.200038458,0.889411858,17.32993,69.36922,16.6,140.1,140,-5,82.23012601704355
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,21.37442,72.40627,0.1,87.0,189,0,75.66595194535125
289,320.8986836,21393.24557,231703.8244,1,9.6,9,0.134164079,0.889992376,22.63959,69.05219,20.0,264.2,265,0,
183,111.3368498,7422.456653,47352.14884,1,12.6,9,0.168600799,0.889701563,22.89298,66.14114,17.1,100.0,100,0,
227,183.9247607,12261.65071,100540.6291,1,11.3,9,0.151381305,0.889850228,22.61243,69.59019,11.7,107.4,107,0,
59,7.28871014,485.9140093,793.1536328,1,0.2,9,0.29693348,0.888335713,19.10383,72.54223,0.3,218.8,315,0,71.87677128895092
183,111.3368498,7422.456653,47352.14884,1,12.7,9,0.168600799,0.889701563,22.88607,64.15788,15.7,109.0,110,-5,
189,120.0665712,8004.43808,53029.12501,1,10.0,9,0.165903012,0.889725302,22.8432,60.46819,18.3,131.0,132,0,
63,8.572667084,571.5111389,1011.708121,1,3.2,9,0.287352447,0.888456752,10.73147,84.82398,11.2,33.0,36,0,60.264351371050125
274,283.9511963,18930.07975,192862.0829,1,7.8,9,0.137787523,0.889962979,22.63385,69.80559,3.6,237.0,241,0,65.23440872302085
274,283.9511963,18930.07975,192862.0829,1,8.3,9,0.137787523,0.889962979,22.63711,69.13486,14.2,87.9,87,0,62.87346796170987
333,443.6120306,29574.13537,376605.165,1,13.5,9,0.124986486,0.890065638,22.63945,69.48698,18.9,260.2,256,-12,
220,171.0356456,11402.37637,90159.44822,1,0.1,9,0.153770786,0.889829996,21.04877,72.54669,0.3,14.8,511,-128,86.85549381190306
222,174.6658481,11644.38987,93045.05438,2,13.8,9,0.153076557,0.889835887,22.18815,65.27786,12.8,143.6,145,0,
240,209.2310216,13948.73477,121988.9271,1,11.4,9,0.147224319,0.889885127,22.6342,70.03664,0.1,343.4,511,-128,
91,21.07847477,1405.231651,3900.677739,1,0.1,9,0.239091688,0.889014838,20.38105,71.35585,2.2,72.0,349,0,78.97546203751466
63,8.572667084,571.5111389,1011.708121,1,4.5,9,0.287352447,0.888456752,24.8434,66.98344,0.0,181.0,66,0,58.40354202674111
180,107.108104,7140.540267,44680.16785,1,10.3,9,0.17,0.889689184,22.81359,68.12374,8.8,277.4,511,-128,
69,10.72639402,715.0929347,1415.995646,1,7.1,9,0.27457477,0.888612605,20.57712,72.66536,1.9,193.3,511,-128,54.936423808955425
130,49.65663452,3310.442301,14104.15985,1,0.1,9,0.200038458,0.889411858,17.32853,69.37048,16.7,138.7,140,0,82.23012601704355
289,320.8986836,21393.24557,231703.8244,1,9.0,9,0.134164079,0.889992376,22.64218,69.1112,18.7,260.0,254,-127,
80,15.40896654,1027.264436,2438.044155,1,0.1,9,0.255,0.888839792,17.15048,69.80556,12.2,139.0,142,0,77.77545846606169
36,2.110934492,140.7289661,123.621336,1,0.1,9,0.380131556,0.887104917,20.55759,71.87366,5.4,60.6,55,-8,70.04475946502585
32,1.563919229,104.2612819,78.83204227,1,0.1,9,0.403190402,0.886694047,21.05153,68.51601,14.1,332.2,335,0,68.86216464187709
149,68.63838194,4575.892129,22920.90991,1,0.1,9,0.186849543,0.889536413,21.19651,72.26747,16.4,25.5,28,4,83.44911229659357
177,102.9696816,6864.64544,42115.82898,1,0.1,9,0.171434625,0.889676444,22.56982,63.76445,12.1,109.2,111,0,84.96807511715348
70,11.11241561,740.8277073,1493.117592,1,0.1,9,0.272606467,0.888636069,19.90268,70.70859,11.0,350.7,511,-128,76.51785318142954
178,104.3391396,6955.94264,42958.80336,1,0.1,9,0.170952388,0.889680732,21.246,66.78568,12.1,261.0,260,0,85.01740037130942
239,207.2208585,13814.7239,120235.1644,1,16.5,9,0.147531998,0.889882557,20.60166,72.03466,102.3,360.0,183,0,
57,6.691320018,446.0880012,697.6683156,1,0.3,9,0.302097928,0.888268919,20.43868,71.81725,1.6,210.4,225,5,69.78397279866988
51,5.073306687,338.2204458,460.5936791,1,0.4,9,0.319374388,0.888037162,20.39942,72.41525,10.5,232.0,227,0,67.45789141045752
222,174.6658481,11644.38987,93045.05438,2,13.8,9,0.153076557,0.889835887,22.04186,66.37873,14.4,127.1,132,0,
289,320.8986836,21393.24557,231703.8244,1,9.6,9,0.134164079,0.889992376,22.64192,69.1101,18.7,258.0,252,-127,
79,14.94311304,996.207536,2328.321354,1,0.1,9,0.256608849,0.888821623,20.21622,68.39479,6.7,300.4,297,0,77.65759301049891
26,0.917844761,61.18965071,35.44338143,1,0.6,9,0.44729959,0.885797156,20.37746,71.14932,7.5,123.2,128,0,58.969134485564744
35,1.965113063,131.0075375,111.0356943,1,0.1,9,0.385523762,0.887011995,21.06367,66.54617,10.1,128.0,128,-8,69.76287797143875
58,6.986334668,465.7556445,744.3126113,1,0.1,9,0.299482312,0.888302886,19.39859,71.58776,9.9,360.0,511,-128,74.72277479647694
180,107.108104,7140.540267,44680.16785,1,8.1,9,0.17,0.889689184,24.53317,66.95385,0.9,171.0,12,0,60.36000522790068
149,68.63838194,4575.892129,22920.90991,1,0.1,9,0.186849543,0.889536413,21.19737,72.26791,16.4,25.5,28,6,83.44911229659357
125,45.22511193,3015.007462,12258.87945,1,0.1,9,0.204,0.889373552,20.57694,72.66534,2.0,196.0,511,-128,81.87703572583936
67,9.97769946,665.179964,1270.360338,1,2.1,9,0.278642766,0.888563658,24.83375,66.96993,0.0,40.0,274,0,62.82452675880917
139,58.22171927,3881.447951,17906.42292,1,14.4,9,0.193454027,0.889474604,16.73883,72.65847,13.3,131.0,129,-6,
107,31.16405894,2077.603929,7012.329651,1,0.1,9,0.220492228,0.889209433,19.18012,70.98307,0.1,152.7,188,0,80.46564776055489
332,440.5831748,29372.21165,372754.7279,1,14.5,9,0.125174577,0.890064154,22.61702,69.40657,14.9,255.0,256,0,
175,100.2607538,6684.050253,40464.83247,1,12.1,9,0.172411468,0.889667741,24.94935,66.58376,0.9,86.1,511,-128,
91,21.07847477,1405.231651,3900.677739,1,0.2,9,0.239091688,0.889014838,20.35027,66.31119,13.0,142.0,144,0,75.96512037881533
130,49.65663452,3310.442301,14104.15985,1,0.1,9,0.200038458,0.889411858,17.32719,69.37168,16.6,138.4,140,0,82.23012601704355
80,15.40896654,1027.264436,2438.044155,1,0.1,9,0.255,0.888839792,17.14955,69.80639,12.2,139.0,142,0,77.77545846606169
192,124.5681608,8304.544053,56039.1936,1,0.1,9,0.164601792,0.889736691,17.41693,72.74199,10.4,351.0,353,0,85.67803270087632
274,283.9511963,18930.07975,192862.0829,1,9.3,9,0.137787523,0.889962979,22.6169,69.40605,14.9,255.0,256,0,
67,9.97769946,665.179964,1270.360338,1,4.0,9,0.278642766,0.888563658,24.83375,66.96993,0.0,48.2,275,0,59.682585884498025
300,349.5629414,23304.19609,263432.5139,1,17.9,9,0.131681434,0.890012362,24.76807,67.33339,0.0,105.0,511,-128,
230,189.6062307,12640.41538,105235.0001,2,0.2,9,0.150390795,0.889858578,22.37177,68.77502,11.2,205.3,511,-128,81.21648543724588
200,137.0207776,9134.718507,64648.87033,1,0.1,9,0.161276161,0.889765623,17.32678,69.37205,16.5,140.4,140,0,86.03250943438312
91,21.07847477,1405.231651,3900.677739,1,0.1,9,0.239091688,0.889014838,20.3497,66.31167,12.9,142.0,144,0,78.97546203751466
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,21.37442,72.4063,0.1,91.0,188,0,75.66595194535125
92,21.64418334,1442.945556,4058.757505,1,0.1,9,0.237788726,0.889028814,22.58969,60.67025,13.3,124.3,130,127,79.0766592762738
64,8.91247548,594.165032,1072.454364,1,0.4,9,0.285098667,0.888484696,18.71036,72.34013,0.2,210.2,511,-128,69.64497669911952
278,293.5634699,19570.89799,202737.6074,1,0.1,9,0.136792654,0.889971077,20.75676,70.66534,0.0,84.2,75,0,88.84901574775368
66,9.614953251,640.9968834,1201.716611,1,9.5,9,0.28074576,0.888538111,15.94283,68.75776,17.7,312.2,312,0,
70,11.11241561,740.8277073,1493.117592,1,0.1,9,0.272606467,0.888636069,22.59313,69.2536,11.4,115.5,115,0,76.51785318142954
128,47.85620189,3190.413459,13344.08011,1,0.1,9,0.201595201,0.889396855,20.49793,69.43156,11.5,338.9,336,0,82.09068746729119
38,2.42113607,161.4090713,151.8483564,1,0.3,9,0.369992888,0.887274726,18.88858,72.74229,2.8,128.4,511,-128,65.81267974576652
199,135.4284091,9028.560607,63525.18868,1,16.1,9,0.161680869,0.889762116,22.93925,70.23936,1.7,220.4,225,0,
299,346.9019568,23126.79712,260430.2472,1,0.1,9,0.131901453,0.890010596,21.2457,66.784,12.0,261.0,260,0,89.46180524532467
57,6.691320018,446.0880012,697.6683156,1,0.1,9,0.302097928,0.888268919,20.43846,71.81709,1.7,211.8,224,-5,74.555340241249
67,9.97769946,665.179964,1270.360338,1,0.1,9,0.278642766,0.888563658,19.33499,72.01701,0.1,114.5,269,0,76.10223867052196
189,120.0665712,8004.43808,53029.12501,2,0.5,9,0.165903012,0.889725302,22.48564,69.84083,0.1,149.2,511,-128,75.54022229714194
144,63.31070637,4220.713758,20304.72151,1,0.1,9,0.190065778,0.889506453,20.21665,68.39396,6.7,300.4,297,0,83.14541330875628
250,229.9184786,15327.89857,140521.2854,1,9.9,9,0.144249783,0.88990987,24.65689,66.91975,1.2,201.5,51,-127,
292,328.5840416,21905.60277,240077.2453,1,10.3,9,0.1334731,0.889997951,22.88482,64.1619,15.6,109.0,110,0,
225,180.1897095,12012.6473,97493.638,2,0.1,9,0.152052622,0.889844557,22.47018,69.08092,0.1,268.3,511,-128,84.03830441502882
38,2.42113607,161.4090713,151.8483564,1,0.3,9,0.369992888,0.887274726,18.88955,71.44868,14.4,270.3,271,0,65.81267974576652
315,390.8075259,26053.83506,311405.068,1,14.8,9,0.128507921,0.890037728,24.8434,66.98344,0.0,181.0,66,0,
190,121.5569469,8103.79646,54019.55148,1,0.1,9,0.16546585,0.889729133,19.67522,72.07181,8.6,354.3,511,-128,85.58691192091233
64,8.91247548,594.165032,1072.454364,1,0.2,9,0.285098667,0.888484696,18.71036,72.34005,0.4,10.3,511,-128,72.65561028665192
225,180.1897095,12012.6473,97493.638,2,0.2,9,0.152052622,0.889844557,22.48054,69.68169,0.2,175.8,332,127,81.02796275632949
79,14.94311304,996.207536,2328.321354,1,0.2,9,0.256608849,0.888821623,20.20024,71.94762,0.1,10.3,511,-128,74.64725135179958
190,121.5569469,8103.79646,54019.55148,1,10.2,9,0.16546585,0.889729133,22.69226,69.70373,7.4,344.4,345,0,
70,11.11241561,740.8277073,1493.117592,1,1.5,9,0.272606467,0.888636069,20.14497,72.48212,13.0,2.9,359,-1,64.73679363592386
117,38.61343457,2574.228971,9671.391141,1,2.0,9,0.210859049,0.88930622,19.78413,72.2926,5.5,297.6,301,0,68.2207207157953
78,14.48538936,965.692624,2222.166307,1,8.9,9,0.258248539,0.888803016,13.15685,73.08997,12.8,329.0,331,0,43.22464759769709
47,4.135995284,275.7330189,339.0403213,1,0.1,9,0.332687317,0.887849315,18.54763,72.23235,0.1,0.7,282,-14,72.6821227350308
70,11.11241561,740.8277073,1493.117592,1,0.1,9,0.272606467,0.888636069,22.59267,69.2546,11.4,115.9,115,0,76.51785318142954
244,217.3780259,14491.86839,129182.8195,1,9.0,9,0.146012575,0.88989523,22.88453,64.16279,15.6,109.0,110,0,
85,17.8612487,1190.749913,3042.629171,1,0.1,9,0.247386338,0.888924598,19.57033,68.1307,12.5,149.0,147,0,78.34177028898647
38,2.42113607,161.4090713,151.8483564,1,0.2,9,0.369992888,0.887274726,18.88843,72.74249,2.8,127.3,511,-128,67.5737055296463
280,298.4350463,19895.66975,207805.0188,1,17.5,9,0.136303233,0.889975054,22.70677,69.69952,10.3,189.7,511,-128,
117,38.61343457,2574.228971,9671.391141,1,2.1,9,0.210859049,0.88930622,19.75262,70.37454,17.2,145.3,145,0,68.0012254393034
274,283.9511963,18930.07975,192862.0829,1,8.9,9,0.137787523,0.889962979,22.61878,69.62035,10.6,276.8,279,0,54.41318270185644
333,443.6120306,29574.13537,376605.165,1,10.4,9,0.124986486,0.890065638,22.81687,63.13412,13.6,113.0,113,0,
61,7.915714386,527.7142924,897.6695056,1,0.1,9,0.292025151,0.888398181,18.97425,72.91919,4.6,70.3,511,-128,75.20692639021296
190,121.5569469,8103.79646,54019.55148,1,0.1,9,0.16546585,0.889729133,18.97127,72.95379,0.1,74.7,31,0,85.58691192091233
228,185.8080563,12387.20375,102088.8023,1,12.5,9,0.151048964,0.889853032,20.06746,71.90627,12.7,291.7,288,0,
250,229.9184786,15327.89857,140521.2854,2,12.0,9,0.144249783,0.88990987,22.18492,65.28051,12.7,140.5,143,0,
199,135.4284091,9028.560607,63525.18868,2,7.2,9,0.161680869,0.889762116,22.03961,66.38186,14.5,127.5,132,0,61.28962689112513
26,0.917844761,61.18965071,35.44338143,1,0.6,9,0.44729959,0.885797156,20.38128,71.35659,2.3,73.0,348,0,58.969134485564744
60,7.59848933,506.5659553,844.25217,1,0.2,9,0.294448637,0.888367459,18.71523,69.41048,13.4,127.7,129,0,72.0381209746384
32,1.563919229,104.2612819,78.83204227,1,0.2,9,0.403190402,0.886694047,18.89945,72.05027,16.8,268.0,268,0,65.85182298317775
68,10.34816741,689.8778273,1341.765027,1,0.1,9,0.276586334,0.888588479,18.69642,70.62455,12.1,154.9,153,7,76.24297982338564
59,7.28871014,485.9140093,793.1536328,1,0.9,9,0.29693348,0.888335713,24.72639,67.15387,13.3,213.2,511,-128,65.34034869292121
78,14.48538936,965.692624,2222.166307,1,5.5,9,0.258248539,0.888803016,14.51983,72.08892,14.8,314.0,316,0,59.00939259426909
190,121.5569469,8103.79646,54019.55148,1,10.3,9,0.16546585,0.889729133,22.69299,69.70354,7.5,347.1,345,0,
138,57.232391,3815.492733,17451.95696,1,0.1,9,0.194153682,0.889467991,17.52687,73.14123,0.0,70.1,40,0,82.76551095336558
25,0.829458471,55.29723138,30.44901644,1,0.1,9,0.456157867,0.885596614,18.54763,72.23235,0.0,323.9,282,11,66.3497759800798
32,1.563919229,104.2612819,78.83204227,1,0.3,9,0.403190402,0.886694047,18.57425,72.1854,0.2,241.0,304,16,64.09079719929795
192,124.5681608,8304.544053,56039.1936,1,0.1,9,0.164601792,0.889736691,17.41928,72.74158,10.3,350.0,353,5,85.67803270087632
67,9.97769946,665.179964,1270.360338,1,6.8,9,0.278642766,0.888563658,24.76832,67.3339,0.0,200.0,511,-128,55.325837981568256
107,31.16405894,2077.603929,7012.329651,1,0.1,9,0.220492228,0.889209433,19.18049,70.9836,0.0,317.3,511,-128,80.46564776055489
141,60.22879685,4015.253123,18840.28986,1,12.6,9,0.192077112,0.889487583,20.54091,71.81649,7.8,55.0,53,0,
73,12.31760526,821.173684,1742.491715,1,0.3,9,0.266946201,0.888702757,18.85945,72.56184,13.9,311.7,315,0,72.14322873243263
35,1.965113063,131.0075375,111.0356943,1,0.2,9,0.385523762,0.887011995,18.80242,72.57813,18.0,13.0,14,5,66.75253631273942
190,121.5569469,8103.79646,54019.55148,1,9.4,9,0.16546585,0.889729133,25.1893,64.68954,0.0,0.0,511,-128,
168,91.09308926,6072.872617,35043.65892,1,0.1,9,0.175966718,0.889635874,17.72507,69.68699,9.8,319.0,317,0,84.51007188769616
97,24.6007649,1640.050993,4918.17768,1,0.1,9,0.231579071,0.8890947,21.62361,65.56522,13.9,137.4,140,0,79.5653681051594
250,229.9184786,15327.89857,140521.2854,2,12.0,9,0.144249783,0.88990987,22.184,65.2813,12.7,140.7,143,0,
333,443.6120306,29574.13537,376605.165,1,12.3,9,0.124986486,0.890065638,24.45045,66.0434,12.2,86.0,86,0,
330,434.5591709,28970.61139,365136.0205,1,11.7,9,0.125553321,0.890061163,24.00565,65.24078,11.5,286.9,284,0,
175,100.2607538,6684.050253,40464.83247,1,11.8,9,0.172411468,0.889667741,24.8434,66.98341,0.0,181.0,66,0,
274,283.9511963,18930.07975,192862.0829,1,7.9,9,0.137787523,0.889962979,22.61533,69.2019,15.8,116.0,116,0,64.85149570136132
180,107.108104,7140.540267,44680.16785,1,10.4,9,0.17,0.889689184,12.92352,74.79172,6.9,79.0,77,0,
180,107.108104,7140.540267,44680.16785,1,6.9,9,0.17,0.889689184,11.76398,71.9698,6.6,129.8,123,-21,64.1253239262312
13,0.149245412,9.949694113,2.323982113,1,0.1,9,0.632577146,0.879064588,16.91134,70.99728,12.9,146.9,145,-127,59.50062418547834
54,5.850000312,390.0000208,570.3154444,1,0.1,9,0.310376116,0.888159502,19.38445,71.22205,0.3,360.0,238,0,74.03328798734134
180,107.108104,7140.540267,44680.16785,1,10.2,9,0.17,0.889689184,24.83374,66.96995,0.0,100.3,280,0,
230,189.6062307,12640.41538,105235.0001,2,0.1,9,0.150390795,0.889858578,22.36897,68.7736,11.1,206.7,511,-128,84.2268270959452
70,11.11241561,740.8277073,1493.117592,1,1.8,9,0.272606467,0.888636069,20.2874,64.84432,11.1,60.8,61,2,63.93025080934265
64,8.91247548,594.165032,1072.454364,1,1.9,9,0.285098667,0.888484696,13.89042,72.53521,12.9,139.0,135,0,62.83736664036114
199,135.4284091,9028.560607,63525.18868,1,15.7,9,0.161680869,0.889762116,23.01081,70.22314,0.0,95.3,168,0,
180,107.108104,7140.540267,44680.16785,1,14.5,9,0.17,0.889689184,24.56615,64.54243,14.0,91.2,92,0,
63,8.572667084,571.5111389,1011.708121,1,2.7,9,0.287352447,0.888456752,21.57378,68.00426,19.1,149.0,149,0,61.08307739536506
91,21.07847477,1405.231651,3900.677739,1,0.1,9,0.239091688,0.889014838,20.34687,66.31396,13.0,142.0,144,0,78.97546203751466
59,7.28871014,485.9140093,793.1536328,1,0.4,9,0.29693348,0.888335713,18.85998,72.56123,13.9,312.6,316,0,68.86613770141851
147,66.47854532,4431.903021,21847.59116,1,15.2,9,0.188116334,0.889524644,12.68617,73.25961,17.7,340.0,343,0,
32,1.563919229,104.2612819,78.83204227,1,0.4,9,0.403190402,0.886694047,18.88959,71.4453,14.4,270.8,271,0,62.84118939564535
